,French,English
1220,portes,doors
1221,mademoiselle,miss
1222,formidable,wonderful
1223,nul,no
1224,directeur,director
1225,chanter,sing
1226,contact,contact
1227,histoires,stories
1228,marié,married
1229,défense,defense
1230,répondre,reply
1231,excuse,excuse
1232,responsable,responsible
1233,deuxième,second
1234,mary,mary
1235,san,san
1236,appartement,apartment
1237,décision,decision
1238,cinéma,cinema
1239,jeter,throw
1240,aimais,liked
1241,cacher,hide
1242,glace,ice cream
1243,occasion,opportunity
1244,dents,teeth
1245,vacances,vacation
1246,course,race
1247,ravi,delighted
1248,tueur,killer
1249,sentir,feel
1250,courage,courage
1251,jésus,Jesus
1252,allée,driveway
1253,capable,able
1254,essayez,try
1255,sauvé,Safe
1256,longue,long
1257,parmi,among
1258,continuez,go on
1259,paie,pay
1260,superbe,superb
1261,français,French
1262,souvenir,memory
1263,ouest,Where is
1264,dégage,releases
1265,jambes,legs
1266,coupe,chopped off
1267,immédiatement,at once
1268,machine,machine
1269,épouse,wife
1270,telle,such
1271,marie,married
1272,mien,mine
1273,pius,pius
1274,certainement,certainly
1275,bombe,bomb
1276,types,Types
1277,p,p
1278,né,born
1279,manière,way
1280,gagne,wins
1281,prévu,planned
1282,chier,take a dump
1283,trouves,found
1284,u,u
1285,idées,ideas
1286,touché,touch
1287,rendu,made
1288,monstre,monster
1289,km,km
1290,retrouve,finds
1291,ha,Ha
1292,f,f
1293,importance,importance
1294,joie,joy
1295,dérange,disturbs
1296,arrivent,arrive
1297,court,short
1298,pont,bridge
1299,foutu,fucking
1300,bain,bath
1301,oubliez,forget
1302,tourner,turn
1303,contente,content
1304,attendais,expecting
1305,cent,hundred
1306,enchanté,Nice To Meet You
1307,signifie,means
1308,américains,US
1309,iis,iis
1310,quitte,quits
1311,poisson,fish
1312,henry,henry
1313,ayez,have
1314,terrain,ground
1315,enquête,investigation
1316,horrible,horrible
1317,chat,cat
1318,certaines,some
1319,r,r
1320,camion,truck
1321,copine,girlfriend
1322,joyeux,happy
1323,shérif,sheriff
1324,ramener,bring back
1325,descends,down
1326,éviter,to avoid
1327,projet,project
1328,and,and
1329,dossier,folder
1330,respect,respect
1331,excellent,excellent
1332,envers,towards
1333,mariée,married
1334,occupé,busy
1335,lorsque,when
1336,blanche,white
1337,majesté,majesty
1338,rencontre,meet
1339,toucher,to touch
1340,ange,angel
1341,refuse,refuse
1342,charge,charge
1343,billy,billy
1344,chevaux,horses
1345,v,v
1346,chiens,dogs
1347,empêcher,avoid
1348,dure,tough
1349,zone,zoned
1350,faits,facts
1351,animaux,animals
1352,meilleurs,best
1353,plupart,mostly
1354,emmène,takes
1355,étions,were
1356,politique,Politics
1357,chaussures,shoes
1358,langue,language
1359,mangé,eat
1360,douleur,pain
1361,planète,planet
1362,offrir,to offer
1363,règles,rules
1364,drogue,drug
1365,réalité,reality
1366,bus,bus
1367,enfoiré,Motherfucker
1368,dirais,say
1369,permis,allowed
1370,vécu,lived
1371,chapeau,hat
1372,île,Isle
1373,réunion,meeting
1374,soient,are
1375,contraire,opposite
1376,tony,tony
1377,mettez,put
1378,nick,nick
1379,arrivera,to arrive at
1380,excuser,excuse
1381,code,coded
1382,couleur,color
1383,rapide,fast
1384,raconte,recounts
1385,papier,paper
1386,discuter,discuss
1387,opération,surgery
1388,cartes,cards
1389,nourriture,food
1390,entier,full
1391,nécessaire,necessary
1392,frais,fresh
1393,toilettes,restrooms
1394,spécial,special
1395,vaisseau,vessel
1396,action,action
1397,princesse,princess
1398,magasin,store
1399,copain,boyfriend
1400,sache,know
1401,bu,drank
1402,steve,steve
1403,découvert,discovered
1404,pain,bread
1405,mignon,cute
1406,taille,cut
1407,sacré,sacred
1408,rends,thank
1409,eddie,eddie
1410,double,double
1411,viendra,will come
1412,imbécile,imbecile
1413,essaye,try
1414,champ,field
1415,personnel,staff
1416,client,customer
1417,lait,milk
1418,contrat,contract
1419,partis,gone
1420,sexe,sex
1421,mienne,mine
1422,repas,meal
1423,mémoire,memory
1424,destin,destiny
1425,direction,direction
1426,dors,sleep
1427,faite,done
1428,pleurer,cry
1429,couteau,knife
1430,malin,malignant
1431,remettre,reset
1432,ray,ray
1433,témoin,witness
1434,restes,remains
1435,mètres,meters
1436,trésor,treasure
1437,gosses,kids
1438,aiment,like
1439,washington,Washington
1440,habite,lives
1441,foi,faith
1442,puisque,since
1443,apporté,brought
1444,solution,solution
1445,trouvez,find
1446,nouveaux,new
1447,réfléchir,reflect
1448,choisir,to choose
1449,goût,taste
1450,remercie,thank
1451,détruire,destroy
1452,université,university
1453,doux,soft
1454,beaux,beautiful
1455,raconter,tell
1456,vitesse,speed
1457,menti,lied
1458,três,very
1459,procès,trial
1460,enceinte,pregnant
1461,amuser,amuse
1462,niveau,level
1463,vus,seen
1464,miss,Miss
1465,fermer,to close
1466,arranger,arrange
1467,end,end
1468,clients,clients
1469,rappeler,call back
1470,Alex,Alex
1471,failli,bankrupt
1472,arbre,tree
1473,papiers,papers
1474,Sarah,Sarah
1475,mérite,deserved
1476,différence,difference
1477,travaillé,work
1478,disons,say
1479,bleu,blue
1480,dise,tell
1481,aimait,loved
1482,appelles,call
1483,espace,space
1484,caméra,camera
1485,censé,supposed
1486,qu,that
1487,piste,track
1488,sourire,smile
1489,courir,run
1490,accepter,accept
1491,retrouvé,found
1492,charles,charles
1493,jambe,leg
1494,angleterre,England
1495,quels,what
1496,préparer,to prepare
1497,marre,fed up
1498,forces,strengths
1499,tirez,pull
1500,énorme,huge
1501,Danny,Danny
1502,trés,very
1503,invité,guest
1504,rentré,returns
1505,officier,officer
1506,pièces,rooms
1507,lettres,letters
1508,file,file
1509,programme,program
1510,tommy,tommy
1511,arrêt,stop
1512,fout,fout
1513,balles,bullets
1514,flingue,gat
1515,chasse,hunt
1516,regrette,sorry
1517,to,to
1518,propres,own
1519,victime,victim
1520,appartient,belongs
1521,france,France
1522,unique,unique
1523,régler,adjust
1524,moindre,lesser
1525,compter,count
1526,voitures,Car
1527,énergie,energy
1528,fil,wire
1529,lycée,high school
1530,crise,crisis
1531,stop,stop
1532,image,picture
1533,vérifier,check
1534,dimanche,Sunday
1535,appareil,apparatus
1536,justement,exactly
1537,richard,richard
1538,noms,names
1539,million,million
1540,cassé,broken
1541,enlever,to take off
1542,clés,Keywords
1543,noire,black
1544,man,man
1545,dépend,depends
1546,derniers,last
1547,doigts,fingers
1548,réponds,answer
1549,honnête,honest
1550,prouver,to prove
1551,preuves,evidence
1552,durant,during
1553,souris,mouse
1554,entendez,hear
1555,lever,raise
1556,oiseau,bird
1557,belles,beautiful
1558,oû,or
1559,apporte,brings
1560,grandes,great
1561,morceau,piece
1562,bobby,bobby
1563,bougez,move
1564,amène,bring
1565,interdit,prohibited
1566,présence,presence
1567,récupérer,recover
1568,quelles,what
1569,manqué,lack
1570,cou,neck
1571,venait,had
1572,étage,floor
1573,regard,look
1574,bouger,move
1575,finalement,finally
1576,couper,cut
1577,urgence,emergency
1578,perds,lose
1579,points,points
1580,meurt,dies
1581,partons,leave
1582,troisième,third
1583,savons,know
1584,folie,madness
1585,ancien,former
1586,chante,sung
1587,obtenir,get
1588,répète,say again
1589,toit,roof
1590,humains,humans
1591,robert,robert
1592,jardin,garden
1593,métier,job
1594,poche,poached
1595,méchant,mean
1596,paradis,paradise
1597,proche,close
1598,rejoindre,rejoin
1599,lors,then
1600,nombre,number
1601,crains,fear
1602,règle,rule
1603,frapper,hit
1604,intention,intention
1605,succès,success
